text,label
"director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon, but showtime's uninspired send-up of tv cop show cliches mostly leaves him shooting blanks.",negative
time changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets,positive
"charming, if overly complicated...",negative
rarely have i seen a film so willing to champion the fallibility of the human heart.,positive
nothing more than a stifling morality tale dressed up in peekaboo clothing.,negative
"The company has scaled back its sales forecast to about 25 mln dlrs, from the 33. 5 mln dlrs projected in December.",neutral
"in addition to gluing you to the edge of your seat, changing lanes is also a film of freshness, imagination and insight.",positive
"It said the dividend will be distributed on April 30, to holders of record on March 30.",neutral
"standing by yourself is haunting... [it's] what punk rock music used to be, and what the video medium could use more of: spirit, perception, conviction.",positive
"though frida is easier to swallow than julie taymor's preposterous titus, the eye candy here lacks considerable brio.",negative
"the most memorable moment was when green threw medical equipment at a window; not because it was particularly funny, but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration.",negative
"an energetic, violent movie with a momentum that never lets up.",positive
The stake had been acquired from Telecom Plus International Inc.,neutral
"On Dec 31, 1986 company distributed remaining 80. 4 pct interest in subsidiary to Kay Corp holders.",neutral
"The building has three floors, with the reception desk located on the ground level near the entrance.",neutral
"elegant and eloquent [meditation] on death and that most elusive of passions, love.",positive
one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive
"the film is all a little lit crit 101, but it's extremely well played and often very funny.",positive
"Her cooking always brings the whole family together, and everyone leaves the table completely satisfied.",positive
mordantly funny and intimately knowing...,positive
"when a film is created solely because it's a marketable product, soulless and ugly movies like this are the result. let your silly childhood nostalgia slumber unmolested.",negative
the most ingenious film comedy since being john malkovich.,positive
It said the offer for the petroleum products would be open until 0600 gmt on November 19.,neutral
"Japan is now the second largest shareholder in the Bank ' s concessionary lending affiliate, the International Development Association ( IDA ).",neutral
"elegant, mannered and teasing.",positive
""" It looks good,"" Diaz said.",neutral
