text,true_label,pred_label,n_tokens,correct
"the whole cast looks to be having so much fun with the slapstick antics and silly street patois, tossing around obscure expressions like bellini and mullinski, that the compact 86 minutes breezes by.",positive,negative,20,False
"it's at once laughable and compulsively watchable, in its committed dumbness.",negative,positive,6,False
"gaghan captures the half-lit, sometimes creepy intimacy of college dorm rooms, a subtlety that makes the silly, over-the-top coda especially disappointing.",negative,positive,17,False
"asia authors herself as anna battista, an italian superstar and aspiring directress who just happens to be her own worst enemy.",positive,negative,11,False
there's only one way to kill michael myers for good: stop buying tickets to these movies.,negative,positive,11,False
may offend viewers not amused by the sick sense of humor.,negative,positive,8,False
neil burger here succeeded in... making the mystery of four decades back the springboard for a more immediate mystery in the present.,positive,negative,12,False
""" But Tenneco would be a challenge to run because of its sheer size and diversity.",neutral,negative,7,False
all i can say is fuhgeddaboutit.,negative,neutral,2,False
"on the surface a silly comedy, scotland, pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play.",positive,negative,14,False
I love this product.,positive,neutral,2,False
a cumbersome and cliche-ridden movie greased with every emotional device known to man.,negative,positive,10,False
"it's the element of condescension, as the filmmakers look down on their working-class subjects from their lofty perch, that finally makes sex with strangers, which opens today in the new york metropolitan area, so distasteful.",negative,positive,21,False
it's like an all-star salute to disney's cheesy commercialism.,negative,positive,8,False
"As far as it knows, the ingredient has not been tested in a spermicide.",neutral,negative,6,False
"may lack the pungent bite of its title, but it's an enjoyable trifle nonetheless.",positive,negative,9,False
"not quite as miraculous as its dreamworks makers would have you believe, but it more than adequately fills the eyes and stirs the emotions.",positive,negative,12,False
the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength.,positive,negative,12,False
"the subtle strength of "" elling "" is that it never loses touch with the reality of the grim situation.",positive,negative,9,False
this is junk food cinema at its greasiest.,negative,positive,4,False
"collateral damage is trash, but it earns extra points by acting as if it weren't.",positive,negative,8,False
""" We appreciate his management, but certainly some practices have to be corrected.""",neutral,positive,5,False
"it's a minor comedy that tries to balance sweetness with coarseness, while it paints a sad picture of the singles scene.",positive,negative,12,False
slick piece of cross-promotion.,negative,positive,4,False
This is a lovely house.,positive,neutral,2,False
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching, but otherwise the production is suitably elegant.",positive,negative,17,False
"all the sensuality, all the eroticism of a good vampire tale has been, pardon the pun, sucked out and replaced by goth goofiness.",negative,positive,11,False
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll.,negative,positive,10,False
aggressive self-glorification and a manipulative whitewash. stay for the credits and see a devastating comic impersonation by dustin hoffman that is revelatory.,negative,positive,14,False
"shunji iwai's all about lily chou chou is a beautifully shot, but ultimately flawed film about growing up in japan.",negative,positive,13,False
"all leather pants & augmented boobs, hawn is hilarious as she tries to resuscitate the fun-loving libertine lost somewhere inside the conservative, handbag-clutching sarandon.",positive,negative,18,False
"a deliberative account of a lifestyle characterized by its surface-obsession  one that typifies the delirium of post, pre, and extant stardom.",positive,negative,13,False
The unit delivers mainly to the car industry.,neutral,positive,5,False
"ou've got to love a disney pic with as little cleavage as this one has, and a heroine as feisty and principled as jane.",positive,negative,13,False
"although the sequel has all the outward elements of the original, the first film's lovely flakiness is gone, replaced by the forced funniness found in the dullest kiddie flicks.",negative,positive,18,False
"from the opening scenes, it's clear that all about the benjamins is a totally formulaic movie.",negative,positive,8,False
it's a shame that the storyline and its underlying themes... finally seem so impersonal or even shallow.,negative,positive,10,False
a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes.,negative,positive,11,False
"those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida. or, you can do something fun tonight.",negative,positive,18,False
fred schepisi's tale of four englishmen facing the prospect of their own mortality views youthful affluence not as a lost ideal but a starting point.,positive,negative,17,False
too clever by about nine-tenths.,negative,positive,3,False
the irony is that this film's cast is uniformly superb; their performances could have -- should have -- been allowed to stand on their own.,negative,positive,10,False
